objectid,filename,title,format,filesize,parentid,description,type,color,yarnweight,fibercontent,yardage,needlesize,subject,pattern,difficulty,rights
coll025,creamcardigan.JPG,Cream Cardigan,image/JPG;multiple,165 KB,,"This cardigan is unique as it can be worn backwards or forwards. This was among the more challenging things I have made in part because of the complicated seamless construction for the raglan sleeves and v-neck. The button holes and complex lace also added to the difficulty, and the i-cord edging is where I made the most mistakes. ",Cardigan,Cream;Pink,Fingering,90%Merino;10%Nylon,1100 Yards,US Size 3,Bottom Up;Bobbles;Buttonholes;Decreases;I-Cord Edging;Increases;Knit Flat;Knit in the Round;Lace;Magic Loop;Pick up Stitches;Seamless Construction;Stockinette Stitch;Three Needle Bind Off,Ravelry: Shell We Cardigan pattern by Camille K,5/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll026,creamcardigan.JPG,,image/JPG,,coll025,,,,,,,,,,,
coll027,creamcardigandetails.JPG,,image/JPG,,coll025,,,,,,,,,,,
coll028,pinkpullover.JPG,Pink Pullover,image/JPG;multiple,194 KB,,"This pullover convinced me to start knitting and it turned out so soft that its like wearing a hug. The make is simple- a yoke with equal increases and sleeves to match that pull in with a series of intense deceases that create the poofy shape. The yarn is Aran weight so it knits up quickly, but is held double with a lace weight mohair to make the pullover extremely soft.",Pullover,Pink,Aran;Lace,"Aran: 62% Baby Alpaca, 9% Wool, 29% Nylon;Lace: 57% Mohair, 15% Wool, 28% Silk",1800 yards,US Size 10,Decreases;Folded Collar;Increases;Knit in the Round;Magic Loop;Ribbed Stitch;Seamless Construction;Stockinette Stitch;Top Down;Yoke,Ravelry: Sunday Sweater pattern by PetiteKnit,1/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll029,pinkpullover.JPG,,image/JPG,,coll028,,,,,,,,,,,
coll030,pinkpulloverdetails.JPG,,image/JPG,,coll028,,,,,,,,,,,
coll031,greymitts.JPG,Grey Mitts,image/JPG;multiple,65.5 KB,,"These mitts were made to match with the grey hood as I had leftover yarn. Rather than find a pattern, I simply knit the lace pattern from the hood in a three repeat round to the desired length, then added a thumb by picking up stitches and decreasing to fit the curve of my hand. ",Mitts,Grey,Aran,100%Wool,150 Yards,US Size 8,Decreases;Increases;Knit in the Round;Lace;Magic Loop;Pick up Stitches; Ribbed Stitch,Self Drafted,2/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll032,greymitts.JPG,,image/JPG,,coll031,,,,,,,,,,,
coll033,greymittsdetails.JPG,,image/JPG,,coll031,,,,,,,,,,,
coll034,greyhood.JPG,Grey Hood,image/JPG;multiple,194 KB,,This hood was made to go with a vintage wool coat that sorely needed a higher collar and hood to keep me warm. The edge design features a moss stitch followed by a lace motif that runs around the face. A ribbed collar ensures that I will be sweating even in the coldest blizzard.,Hood,Grey,Aran,100%Wool,420 Yards,US Size 8,Decreases;Increases;KitchenerStitch;Knit Flat;Knit in the Round;Lace;Ribbed Stitch;Seamless Construction;Stockinette Stitch,Ravelry: Alassë Míriel Hooded Cowl pattern by L. M. Benjamin,3/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll035,greyhood.JPG,,image/JPG,,coll034,,,,,,,,,,,
coll036,greyhooddetails.JPG,,image/JPG,,coll034,,,,,,,,,,,
coll037,greysocks.JPG,Grey Socks,image/JPG;multiple,259 KB,,These socks were a very fun make as the complex cabling kept me entertained while the rest of the sock came together. I opted to make them slightly longer than the pattern suggested because I was having so much fun with the cabling. ,Socks,Grey,Fingering,70%Merino;20%Yak;10%Nylon,500 Yards,US Size 2,Cabling;Decreases;Fusset;Heel Flap;Increases;Kitchener Stitch;Knit in the Round;Magic Loop;Pick up Stitches;Ribbed Stitch;Seamless COnstruction;Stockinette Stitch;Top Down,Ravelry: Celtic Socks pattern by Rachel Cassels,4/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll038,greysocks.JPG,,image/JPG,,coll037,,,,,,,,,,,
coll039,greysocksdetails.JPG,,image/JPG,,coll037,,,,,,,,,,,
coll040,pinktop.JPG,Pink Top,image/JPG;multiple,235 KB,,"This lightweight pullover features subtle cabling patterns on the bottom hem and down the sleeves. Its unique top down saddle shoulder construction, while complex, creates a boxy silhouette that displays the delicate cablework to advantage.",Top,Pink;Brown,Fingering,75%Merino;25%Nylon,1200 Yards,US Size 7,Cabling;Decreases;Increases;Knit in the Round;Magic Loop;Pick up Stitches;Ribbed Stitch;Saddle Shoulder;Seamless Construction;Stockinette Stitch;Top Down,Ravelry: Olive Leaf Pullover pattern by Ririko,5/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll041,pinktop.JPG,,image/JPG,,coll040,,,,,,,,,,,
coll042,pinktopdetails.JPG,,image/JPG,,coll040,,,,,,,,,,,
coll043,greybluepurplesocks.JPG,"Grey, Blue, and Purple Socks",image/JPG;multiple,257 KB,,"These socks are designed to fit in open flats without showing. They are constructed from the toe up by increasing for the toe, knitting flat to make the sides, and then completing a heel before picking up stitches around the open edge to knit a ribbed section which helps to create a stretchy hold on the foot.",Socks,Grey;Blue;Purple,Fingering,85%Merino;15%Wool,150 Yards,US Size 2,Decreases;Garter Stitch;Gusset;Increases;Judy's Magic Cast On;Knit Flat;Knit in the Round;Magic Loop;Pick up Stitches;Ribbed Stitch;Seamless Construction;Stockinette Stitch;Toe Up;Wrap and Turns,Ravelry: Skimmer Socks Revisited pattern by Sheila Toy Stromberg,3/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll044,greybluepurplesocks.JPG,,image/JPG,,coll043,,,,,,,,,,,
